subject_id,trial,block,deck_shown,choice,gain,loss,net_outcome,ev_A,ev_B,ev_C,ev_D,is_training
1,1,1,4,1,50,0,50,0,0,0,0.37578875999,TRUE
1,2,1,3,0,0,0,0,0,0,0,0.37578875999,TRUE
1,3,1,2,1,100,0,100,0,0.75157751998,0,0.37578875999,TRUE
1,4,1,3,1,50,0,50,0,0.75157751998,0.37578875999,0.37578875999,TRUE
1,5,1,3,0,0,0,0,0,0.75157751998,0.37578875999,0.37578875999,TRUE
1,6,1,2,1,100,0,100,0,1.30666561944651,0.37578875999,0.37578875999,TRUE
1,7,1,2,0,0,0,0,0,1.30666561944651,0.37578875999,0.37578875999,TRUE
1,8,1,4,1,50,0,50,0,1.30666561944651,0.37578875999,0.653332809723255,TRUE
1,9,1,2,0,0,0,0,0,1.30666561944651,0.37578875999,0.653332809723255,TRUE
1,10,1,1,1,100,0,100,0.75157751998,1.30666561944651,0.37578875999,0.653332809723255,TRUE
1,11,1,4,1,50,0,50,0.75157751998,1.30666561944651,0.37578875999,0.858316853270446,TRUE
1,12,1,1,0,0,0,0,0.75157751998,1.30666561944651,0.37578875999,0.858316853270446,TRUE
1,13,1,4,1,50,0,50,0.75157751998,1.30666561944651,0.37578875999,1.00971068840883,TRUE
1,14,1,3,1,0,0,0,0.75157751998,1.30666561944651,0.277544049733254,1.00971068840883,TRUE
1,15,1,2,0,0,0,0,0.75157751998,1.30666561944651,0.277544049733254,1.00971068840883,TRUE
1,16,1,4,1,50,0,50,0.75157751998,1.30666561944651,0.277544049733254,1.12152472486398,TRUE
1,17,1,3,1,50,0,50,0.75157751998,1.30666561944651,0.580772803537191,1.12152472486398,TRUE
1,18,1,1,1,100,0,100,1.30666561944651,1.30666561944651,0.580772803537191,1.12152472486398,TRUE
1,19,1,1,1,100,0,100,1.71663370654089,1.30666561944651,0.580772803537191,1.12152472486398,TRUE
1,20,1,1,0,0,0,0,1.71663370654089,1.30666561944651,0.580772803537191,1.12152472486398,TRUE
1,21,2,1,1,0,-250,-250,-1.38901583291233,1.30666561944651,0.580772803537191,1.12152472486398,FALSE
1,22,2,1,1,0,-250,-250,-3.68273677936906,1.30666561944651,0.580772803537191,1.12152472486398,FALSE
1,23,2,3,0,0,0,0,-3.68273677936906,1.30666561944651,0.580772803537191,1.12152472486398,FALSE
1,24,2,3,0,0,0,0,-3.68273677936906,1.30666561944651,0.580772803537191,1.12152472486398,FALSE
1,25,2,1,1,0,-250,-250,-5.37679649646793,1.30666561944651,0.580772803537191,1.12152472486398,FALSE
1,26,2,1,0,0,0,0,-5.37679649646793,1.30666561944651,0.580772803537191,1.12152472486398,FALSE
1,27,2,4,0,0,0,0,-5.37679649646793,1.30666561944651,0.580772803537191,1.12152472486398,FALSE
1,28,2,2,1,100,0,100,-5.37679649646793,1.71663370654089,0.580772803537191,1.12152472486398,FALSE
1,29,2,1,0,0,0,0,-5.37679649646793,1.71663370654089,0.580772803537191,1.12152472486398,FALSE
1,30,2,2,0,0,0,0,-5.37679649646793,1.71663370654089,0.580772803537191,1.12152472486398,FALSE
1,31,2,2,0,0,0,0,-5.37679649646793,1.71663370654089,0.580772803537191,1.12152472486398,FALSE
1,32,2,4,1,50,0,50,-5.37679649646793,1.71663370654089,0.580772803537191,1.20410654688444,FALSE
1,33,2,2,0,0,0,0,-5.37679649646793,1.71663370654089,0.580772803537191,1.20410654688444,FALSE
1,34,2,2,0,0,0,0,-5.37679649646793,1.71663370654089,0.580772803537191,1.20410654688444,FALSE
1,35,2,3,1,0,-25,-25,-5.37679649646793,1.71663370654089,0.163251915896642,1.20410654688444,FALSE
1,36,2,2,0,0,0,0,-5.37679649646793,1.71663370654089,0.163251915896642,1.20410654688444,FALSE
1,37,2,1,1,0,-250,-250,-6.62796801736734,1.71663370654089,0.163251915896642,1.20410654688444,FALSE
1,38,2,4,1,50,0,50,-6.62796801736734,1.71663370654089,0.163251915896642,1.26509850768316,FALSE
1,39,2,3,1,50,0,50,-6.62796801736734,1.71663370654089,0.496360748002288,1.26509850768316,FALSE
1,40,2,4,1,50,0,50,-6.62796801736734,1.71663370654089,0.496360748002288,1.31014497421851,FALSE
1,41,3,4,0,0,0,0,-6.62796801736734,1.71663370654089,0.496360748002288,1.31014497421851,FALSE
1,42,3,2,1,100,0,100,-6.62796801736734,2.01942137681767,0.496360748002288,1.31014497421851,FALSE
1,43,3,1,0,0,0,0,-6.62796801736734,2.01942137681767,0.496360748002288,1.31014497421851,FALSE
1,44,3,1,1,100,0,100,-4.14360105079889,2.01942137681767,0.496360748002288,1.31014497421851,FALSE
1,45,3,1,0,0,0,0,-4.14360105079889,2.01942137681767,0.496360748002288,1.31014497421851,FALSE
1,46,3,1,0,0,0,0,-4.14360105079889,2.01942137681767,0.496360748002288,1.31014497421851,FALSE
1,47,3,1,1,0,-250,-250,-5.71717425623224,2.01942137681767,0.496360748002288,1.31014497421851,FALSE
1,48,3,2,0,0,0,0,-5.71717425623224,2.01942137681767,0.496360748002288,1.31014497421851,FALSE
1,49,3,1,0,0,0,0,-5.71717425623224,2.01942137681767,0.496360748002288,1.31014497421851,FALSE
1,50,3,4,0,0,0,0,-5.71717425623224,2.01942137681767,0.496360748002288,1.31014497421851,FALSE
1,51,3,2,1,0,-1150,-1150,-5.71717425623224,-10.730082643102,0.496360748002288,1.31014497421851,FALSE
1,52,3,3,1,50,0,50,-5.71717425623224,-10.730082643102,0.742382939477562,1.31014497421851,FALSE
