subject_id,trial,block,deck_shown,choice,gain,loss,net_outcome,ev_A,ev_B,ev_C,ev_D,is_training
1,1,1,4,1,50,0,50,0,0,0,0.1049256520425,TRUE
1,2,1,3,0,0,0,0,0,0,0,0.1049256520425,TRUE
1,3,1,2,1,100,0,100,0,0.209851304085,0,0.1049256520425,TRUE
1,4,1,3,1,50,0,50,0,0.209851304085,0.1049256520425,0.1049256520425,TRUE
1,5,1,3,0,0,0,0,0,0.209851304085,0.1049256520425,0.1049256520425,TRUE
1,6,1,2,1,100,0,100,0,0.411008594552541,0.1049256520425,0.1049256520425,TRUE
1,7,1,2,0,0,0,0,0,0.411008594552541,0.1049256520425,0.1049256520425,TRUE
1,8,1,4,1,50,0,50,0,0.411008594552541,0.1049256520425,0.20550429727627,TRUE
1,9,1,2,0,0,0,0,0,0.411008594552541,0.1049256520425,0.20550429727627,TRUE
1,10,1,1,1,100,0,100,0.209851304085,0.411008594552541,0.1049256520425,0.20550429727627,TRUE
1,11,1,4,1,50,0,50,0.209851304085,0.411008594552541,0.1049256520425,0.301916029585193,TRUE
1,12,1,1,0,0,0,0,0.209851304085,0.411008594552541,0.1049256520425,0.301916029585193,TRUE
1,13,1,4,1,50,0,50,0.209851304085,0.411008594552541,0.1049256520425,0.394333481671596,TRUE
1,14,1,3,1,0,0,0,0.209851304085,0.411008594552541,0.10057864523377,0.394333481671596,TRUE
1,15,1,2,0,0,0,0,0.209851304085,0.411008594552541,0.10057864523377,0.394333481671596,TRUE
1,16,1,4,1,50,0,50,0.209851304085,0.411008594552541,0.10057864523377,0.482922134168531,TRUE
1,17,1,3,1,50,0,50,0.209851304085,0.411008594552541,0.201337384351422,0.482922134168531,TRUE
1,18,1,1,1,100,0,100,0.411008594552541,0.411008594552541,0.201337384351422,0.482922134168531,TRUE
1,19,1,1,1,100,0,100,0.603832059170386,0.411008594552541,0.201337384351422,0.482922134168531,TRUE
1,20,1,1,0,0,0,0,0.603832059170386,0.411008594552541,0.201337384351422,0.482922134168531,TRUE
1,21,2,1,1,0,-250,-250,0.527832924445317,0.411008594552541,0.201337384351422,0.482922134168531,FALSE
1,22,2,1,0,0,0,0,0.527832924445317,0.411008594552541,0.201337384351422,0.482922134168531,FALSE
1,23,2,3,0,0,0,0,0.527832924445317,0.411008594552541,0.201337384351422,0.482922134168531,FALSE
1,24,2,3,0,0,0,0,0.527832924445317,0.411008594552541,0.201337384351422,0.482922134168531,FALSE
1,25,2,1,0,0,0,0,0.527832924445317,0.411008594552541,0.201337384351422,0.482922134168531,FALSE
1,26,2,1,0,0,0,0,0.527832924445317,0.411008594552541,0.201337384351422,0.482922134168531,FALSE
1,27,2,4,0,0,0,0,0.527832924445317,0.411008594552541,0.201337384351422,0.482922134168531,FALSE
1,28,2,2,1,100,0,100,0.527832924445317,0.603832059170386,0.201337384351422,0.482922134168531,FALSE
1,29,2,1,1,0,-250,-250,0.454982388272427,0.603832059170386,0.201337384351422,0.482922134168531,FALSE
1,30,2,2,1,100,0,100,0.454982388272427,0.788666963343192,0.201337384351422,0.482922134168531,FALSE
1,31,2,2,0,0,0,0,0.454982388272427,0.788666963343192,0.201337384351422,0.482922134168531,FALSE
1,32,2,4,1,50,0,50,0.454982388272427,0.788666963343192,0.201337384351422,0.567840611945709,FALSE
1,33,2,2,0,0,0,0,0.454982388272427,0.788666963343192,0.201337384351422,0.567840611945709,FALSE
1,34,2,2,0,0,0,0,0.454982388272427,0.788666963343192,0.201337384351422,0.567840611945709,FALSE
1,35,2,3,1,0,-25,-25,0.454982388272427,0.788666963343192,0.187897823838886,0.567840611945709,FALSE
1,36,2,2,0,0,0,0,0.454982388272427,0.788666963343192,0.187897823838886,0.567840611945709,FALSE
1,37,2,1,0,0,0,0,0.454982388272427,0.788666963343192,0.187897823838886,0.567840611945709,FALSE
1,38,2,4,0,0,0,0,0.454982388272427,0.788666963343192,0.187897823838886,0.567840611945709,FALSE
1,39,2,3,1,50,0,50,0.454982388272427,0.788666963343192,0.285038981778435,0.567840611945709,FALSE
1,40,2,4,1,50,0,50,0.454982388272427,0.788666963343192,0.285038981778435,0.649240968139666,FALSE
1,41,3,4,1,50,0,50,0.454982388272427,0.788666963343192,0.285038981778435,0.72726895641672,FALSE
1,42,3,2,0,0,0,0,0.454982388272427,0.788666963343192,0.285038981778435,0.72726895641672,FALSE
1,43,3,1,1,0,-250,-250,0.385150006102859,0.788666963343192,0.285038981778435,0.72726895641672,FALSE
1,44,3,1,1,0,-250,-250,0.318210737627146,0.788666963343192,0.285038981778435,0.72726895641672,FALSE
1,45,3,1,1,100,0,100,0.514878761778696,0.788666963343192,0.285038981778435,0.72726895641672,FALSE
1,46,3,1,1,0,-250,-250,0.442564908792587,0.788666963343192,0.285038981778435,0.72726895641672,FALSE
1,47,3,1,0,0,0,0,0.442564908792587,0.788666963343192,0.285038981778435,0.72726895641672,FALSE
1,48,3,2,0,0,0,0,0.442564908792587,0.788666963343192,0.285038981778435,0.72726895641672,FALSE
1,49,3,1,1,0,-250,-250,0.37324697534738,0.788666963343192,0.285038981778435,0.72726895641672,FALSE
1,50,3,4,1,0,-200,-200,0.37324697534738,0.788666963343192,0.285038981778435,0.656352452063449,FALSE
1,51,3,2,1,100,0,100,0.37324697534738,0.965844268337062,0.285038981778435,0.656352452063449,FALSE
1,52,3,3,1,50,0,50,0.37324697534738,0.965844268337062,0.378155639829244,0.656352452063449,FALSE
1,53,3,4,0,0,0,0,0.37324697534738,0.965844268337062,0.378155639829244,0.656352452063449,FALSE
1,54,3,3,0,0,0,0,0.37324697534738,0.965844268337062,0.378155639829244,0.656352452063449,FALSE
1,55,3,4,1,50,0,50,0.37324697534738,0.965844268337062,0.378155639829244,0.734085815828432,FALSE
1,56,3,2,1,100,0,100,0.37324697534738,1.13568122389142,0.378155639829244,0.734085815828432,FALSE
1,57,3,1,1,0,-250,-250,0.306800842294048,1.13568122389142,0.378155639829244,0.734085815828432,FALSE
1,58,3,2,0,0,0,0,0.306800842294048,1.13568122389142,0.378155639829244,0.734085815828432,FALSE
1,59,3,4,0,0,0,0,0.306800842294048,1.13568122389142,0.378155639829244,0.734085815828432,FALSE
1,60,3,4,1,50,0,50,0.306800842294048,1.13568122389142,0.378155639829244,0.808598732972649,FALSE
1,61,4,1,0,0,0,0,0.306800842294048,1.13568122389142,0.378155639829244,0.808598732972649,FALSE
1,62,4,1,1,0,-250,-250,0.243107532665436,1.13568122389142,0.378155639829244,0.808598732972649,FALSE
1,63,4,2,1,100,0,100,0.243107532665436,1.29848193627933,0.378155639829244,0.808598732972649,FALSE
1,64,4,1,0,0,0,0,0.243107532665436,1.29848193627933,0.378155639829244,0.808598732972649,FALSE
1,65,4,4,0,0,0,0,0.243107532665436,1.29848193627933,0.378155639829244,0.808598732972649,FALSE
1,66,4,3,1,0,-25,-25,0.243107532665436,1.29848193627933,0.357390605083215,0.808598732972649,FALSE
1,67,4,4,1,50,0,50,0.243107532665436,1.29848193627933,0.357390605083215,0.880024624667332,FALSE
1,68,4,2,0,0,0,0,0.243107532665436,1.29848193627933,0.357390605083215,0.880024624667332,FALSE
1,69,4,1,1,100,0,100,0.442887037536627,1.29848193627933,0.357390605083215,0.880024624667332,FALSE
1,70,4,4,1,50,0,50,0.442887037536627,1.29848193627933,0.357390605083215,0.948491384524639,FALSE
1,71,4,4,0,0,0,0,0.442887037536627,1.29848193627933,0.357390605083215,0.948491384524639,FALSE
1,72,4,2,0,0,0,0,0.442887037536627,1.29848193627933,0.357390605083215,0.948491384524639,FALSE
1,73,4,3,1,50,0,50,0.442887037536627,1.29848193627933,0.44750977879148,0.948491384524639,FALSE
1,74,4,3,0,0,0,0,0.442887037536627,1.29848193627933,0.44750977879148,0.948491384524639,FALSE
1,75,4,3,0,0,0,0,0.442887037536627,1.29848193627933,0.44750977879148,0.948491384524639,FALSE
1,76,4,2,0,0,0,0,0.442887037536627,1.29848193627933,0.44750977879148,0.948491384524639,FALSE
