subject_id,trial,block,deck_shown,choice,gain,loss,net_outcome,ev_A,ev_B,ev_C,ev_D,is_training
1,1,1,4,1,50,0,50,0,0,0,2.1856378659,TRUE
1,2,1,3,0,0,0,0,0,0,0,2.1856378659,TRUE
1,3,1,2,1,100,0,100,0,4.3712757318,0,2.1856378659,TRUE
1,4,1,3,1,50,0,50,0,4.3712757318,2.1856378659,2.1856378659,TRUE
1,5,1,3,0,0,0,0,0,4.3712757318,2.1856378659,2.1856378659,TRUE
1,6,1,2,1,100,0,100,0,6.75835072597281,2.1856378659,2.1856378659,TRUE
1,7,1,2,0,0,0,0,0,6.75835072597281,2.1856378659,2.1856378659,TRUE
1,8,1,4,1,50,0,50,0,6.75835072597281,2.1856378659,3.3791753629864,TRUE
1,9,1,2,0,0,0,0,0,6.75835072597281,2.1856378659,3.3791753629864,TRUE
1,10,1,1,1,100,0,100,4.3712757318,6.75835072597281,2.1856378659,3.3791753629864,TRUE
1,11,1,4,1,50,0,50,4.3712757318,6.75835072597281,2.1856378659,4.03094470647034,TRUE
1,12,1,1,0,0,0,0,4.3712757318,6.75835072597281,2.1856378659,4.03094470647034,TRUE
1,13,1,4,1,50,0,50,4.3712757318,6.75835072597281,2.1856378659,4.38686421309874,TRUE
1,14,1,3,1,0,0,0,4.3712757318,6.75835072597281,1.1935374970864,4.38686421309874,TRUE
1,15,1,2,0,0,0,0,4.3712757318,6.75835072597281,1.1935374970864,4.38686421309874,TRUE
1,16,1,4,1,50,0,50,4.3712757318,6.75835072597281,1.1935374970864,4.58122544911739,TRUE
1,17,1,3,1,50,0,50,4.3712757318,6.75835072597281,2.83740720938394,4.58122544911739,TRUE
1,18,1,1,1,100,0,100,6.75835072597281,6.75835072597281,2.83740720938394,4.58122544911739,TRUE
1,19,1,1,1,100,0,100,8.06188941294068,6.75835072597281,2.83740720938394,4.58122544911739,TRUE
1,20,1,1,0,0,0,0,8.06188941294068,6.75835072597281,2.83740720938394,4.58122544911739,TRUE
1,21,2,1,1,0,-250,-250,3.16490768112247,6.75835072597281,2.83740720938394,4.58122544911739,FALSE
1,22,2,1,0,0,0,0,3.16490768112247,6.75835072597281,2.83740720938394,4.58122544911739,FALSE
1,23,2,3,0,0,0,0,3.16490768112247,6.75835072597281,2.83740720938394,4.58122544911739,FALSE
1,24,2,3,0,0,0,0,3.16490768112247,6.75835072597281,2.83740720938394,4.58122544911739,FALSE
1,25,2,1,0,0,0,0,3.16490768112247,6.75835072597281,2.83740720938394,4.58122544911739,FALSE
1,26,2,1,0,0,0,0,3.16490768112247,6.75835072597281,2.83740720938394,4.58122544911739,FALSE
1,27,2,4,0,0,0,0,3.16490768112247,6.75835072597281,2.83740720938394,4.58122544911739,FALSE
1,28,2,2,1,100,0,100,3.16490768112247,8.06188941294068,2.83740720938394,4.58122544911739,FALSE
1,29,2,1,1,0,-250,-250,0.490754103047723,8.06188941294068,2.83740720938394,4.58122544911739,FALSE
1,30,2,2,1,100,0,100,0.490754103047723,8.77372842619747,2.83740720938394,4.58122544911739,FALSE
1,31,2,2,0,0,0,0,0.490754103047723,8.77372842619747,2.83740720938394,4.58122544911739,FALSE
1,32,2,4,1,50,0,50,0.490754103047723,8.77372842619747,2.83740720938394,4.68736262160492,FALSE
1,33,2,2,1,100,0,100,0.490754103047723,9.16245089823477,2.83740720938394,4.68736262160492,FALSE
1,34,2,2,1,0,-1150,-1150,0.490754103047723,-0.68925754965516,2.83740720938394,4.68736262160492,FALSE
1,35,2,3,0,0,0,0,0.490754103047723,-0.68925754965516,2.83740720938394,4.68736262160492,FALSE
1,36,2,2,1,100,0,100,0.490754103047723,3.99488459056921,2.83740720938394,4.68736262160492,FALSE
1,37,2,1,1,0,-250,-250,-0.969553031174493,3.99488459056921,2.83740720938394,4.68736262160492,FALSE
1,38,2,4,1,50,0,50,-0.969553031174493,3.99488459056921,2.83740720938394,4.74532222103126,FALSE
1,39,2,3,1,0,0,0,-0.969553031174493,3.99488459056921,1.5494570037148,4.74532222103126,FALSE
1,40,2,4,0,0,0,0,-0.969553031174493,3.99488459056921,1.5494570037148,4.74532222103126,FALSE
1,41,3,4,1,50,0,50,-0.969553031174493,3.99488459056921,1.5494570037148,4.77697291500519,FALSE
1,42,3,2,1,100,0,100,-0.969553031174493,6.55281029878722,1.5494570037148,4.77697291500519,FALSE
1,43,3,1,0,0,0,0,-0.969553031174493,6.55281029878722,1.5494570037148,4.77697291500519,FALSE
1,44,3,1,0,0,0,0,-0.969553031174493,6.55281029878722,1.5494570037148,4.77697291500519,FALSE
1,45,3,1,0,0,0,0,-0.969553031174493,6.55281029878722,1.5494570037148,4.77697291500519,FALSE
1,46,3,1,1,0,-250,-250,-1.76700047164483,6.55281029878722,1.5494570037148,4.77697291500519,FALSE
1,47,3,1,1,100,0,100,3.40634858024325,6.55281029878722,1.5494570037148,4.77697291500519,FALSE
1,48,3,2,0,0,0,0,3.40634858024325,6.55281029878722,1.5494570037148,4.77697291500519,FALSE
1,49,3,1,1,0,-250,-250,0.622600632121393,6.55281029878722,1.5494570037148,4.77697291500519,FALSE
1,50,3,4,1,50,0,50,0.622600632121393,6.55281029878722,1.5494570037148,4.79425678927187,FALSE
1,51,3,2,1,100,0,100,0.622600632121393,7.94964748538232,1.5494570037148,4.79425678927187,FALSE
1,52,3,3,0,0,0,0,0.622600632121393,7.94964748538232,1.5494570037148,4.79425678927187,FALSE
1,53,3,4,0,0,0,0,0.622600632121393,7.94964748538232,1.5494570037148,4.79425678927187,FALSE
