    -0.940     0.529    -0.285     0.528    -0.687    -1.472     0.023    -1.962    -0.480     0.145 202129 200014
    -0.425     0.529    -1.543     0.949     0.752    -1.472    -0.959    -0.222    -0.366     0.145 202138 200014
    -0.682     0.529    -0.285     0.528     0.314    -1.472     0.023     0.587    -0.330     0.145 202154 200014
    -0.682    -0.434    -0.914    -0.417    -0.161    -1.472    -1.941    -1.962    -0.523     0.145 202159 200012
     1.375     0.047     0.344     0.949    -0.687     1.219     0.023    -0.864     0.294     0.145 202167 200012
    -0.425     0.529     0.973     1.344     1.158    -1.472    -0.959    -0.864    -0.310     0.145 202170 200020
    -0.682     0.529     0.344     0.528     0.314     0.322    -0.959    -0.222    -0.039     0.145 202176 200022
    -1.197    -1.397    -2.172    -0.417    -1.991    -1.173    -1.941    -1.962    -0.692     0.145 202184 200019
     0.604     0.529    -0.285    -1.580    -1.284     0.621     0.254    -0.222     0.112     0.145 202193 200020
     1.375     1.010    -0.285     0.949     1.158     1.219     1.986     2.218     0.607     0.145 202197 200012
    -0.940    -0.915    -0.914    -0.417    -1.284    -1.472    -1.941    -0.864    -0.627     0.145 202199 200012
     1.633     1.491    -0.285     0.528     1.541     0.920     1.005     1.518     0.546     0.145 202211 200014
    -0.425     0.047     0.973    -0.417    -1.991    -0.575    -0.552    -0.864    -0.344     0.145 202223 210011
    -0.756     0.047    -2.172    -1.580     1.158    -1.173     0.464     0.234    -0.183     0.145 202229 210012
     0.347    -0.915    -0.914    -0.417    -0.687    -0.575    -0.552    -0.864    -0.193     0.145 202238 210012
    -0.940    -0.915    -0.285     0.075    -0.161    -0.874    -0.552    -0.864    -0.334     0.145 202239 210012
    -0.168     0.047     0.973     0.949     0.314    -0.874    -0.959    -0.864    -0.233     0.145 202243 210011
    -0.425    -0.915     0.973     1.344    -0.161     1.517    -0.240    -0.864     0.201     0.145 202252 210012
    -1.968    -2.359    -1.543    -1.580    -1.284    -1.173     0.023    -1.962    -0.569     0.145 202256 210008
     0.861     1.491    -0.285     0.075    -0.687     2.713     1.986     1.332     0.699     0.145 202259 210009
    -1.711     0.047    -0.914     0.075     0.314    -1.472    -1.941    -0.222    -0.564     0.145 202260 210012
    -0.425     0.529     0.973     0.528     0.314     1.816     1.164     0.876     0.431     0.145 202266 210008
    -0.682    -0.434    -0.285     0.528     0.314    -1.472    -1.941    -1.962    -0.491     0.145 202273 210008
     0.604     0.529     0.973    -0.417    -0.161     0.621    -0.959    -0.222     0.133     0.145 202277 210010
     0.347     0.529     0.344     0.949     0.752     0.322     1.599     0.876     0.259     0.145 202285 210008
    -1.197     0.529     1.603    -0.962     1.158    -1.173    -0.552     0.234    -0.235     0.145 202309 210012
    -0.682     1.010     0.344     0.949    -1.284    -0.874     0.254    -0.864    -0.351     0.145 202312 210007
    -0.425    -0.434     0.973     0.528     0.314     0.920     0.464     0.876     0.210     0.145 202334 220007
     0.347     0.529    -0.285    -0.417    -1.284     0.023    -0.240    -0.864    -0.091     0.145 202350 220009
     0.347     1.491    -0.285     0.949    -1.284     1.517     0.023     0.234     0.216     0.145 202362 220007
    -0.168    -0.915    -0.914     0.075    -0.687    -0.575    -1.941    -0.222    -0.324     0.145 202370 220007
     3.433     1.491     0.973     1.719     1.902     2.414     1.986     2.218     1.114     0.145 202397 220011
     0.861     0.529     0.973     0.949     1.158     0.621     0.464     0.234     0.335     0.145 202408 220007
     0.089     0.529    -0.914     0.949     1.541    -0.575     0.657     0.587     0.044     0.145 202413 220007
     2.147     0.529     0.973     0.949    -1.284     0.621    -0.552    -0.222     0.191     0.145 202430 220007
     0.089     0.047    -1.543     0.075    -0.687     0.621     0.657     0.234     0.090     0.145 202441 220009
